name,area_km2,poblacion,pobreza_pct,ingreso,escolaridad,nse_index,pm25_mean,no2_mean,n_grid,pm25_who_ratio,no2_who_ratio,green_km2,green_pct,n_green,health_n_total,health_n_hospital,health_n_pharmacy,health_density_per_km2,health_n_access_grid,mean_nearest_health_m,median_nearest_health_m,p90_nearest_health_m,mean_nearest_hospital_m,median_nearest_hospital_m,p90_nearest_hospital_m,tmean_annual_c,tmax_mean_annual_c,summer_tmax_mean_c,tmax_p95_c,tmax_abs_c,apparent_tmax_mean_c,hot_days_30c,hot_days_35c,apparent_hot_days_35c,tropical_nights_20c,precip_annual_mm,heat_exposure_index,urban_heat_anomaly_c,climate_n_area_grid_points,climate_nearest_point_m,climate_used_nearest_fallback,climate_n_days
Alhué,843.72,7691,29.11,150000.0,9.91530486733436,-1.178,10.18,11.05,9,2.04,1.11,0.016,0.0,4,6,1,2,0.0071,842,7125,6748,12689,11278,11704,16524,17.45,23.13,30.4,32.92,37.5,23.02,71.0,9.0,8.0,11.0,496.4,1.16,0.67,9,0.0,False,366.0
Buin,217.49,114827,19.12,165000.0,12.41277612636229,-0.152,28.77,42.63,2,5.75,4.26,0.72,0.33,159,25,8,8,0.1149,218,2231,2119,3882,3609,3605,5935,14.92,22.15,29.99,32.58,36.9,21.54,59.0,3.0,3.0,1.0,728.1,0.08,0.26,2,0.0,False,366.0
Calera de Tango,73.05,29640,18.58,233935.0,10.24268203085722,-0.427,28.77,42.63,1,5.75,4.26,0.044,0.06,32,9,4,4,0.1232,73,1758,1653,3216,1975,1931,3234,13.97,21.68,29.16,31.8,36.3,20.77,39.0,3.0,1.0,0.0,544.1,-0.38,-0.57,1,0.0,False,366.0
Cerrillos,16.92,89907,22.55,215448.0,11.70724889833302,-0.372,28.77,42.63,1,5.75,4.26,1.042,6.16,124,20,3,11,1.182,17,529,472,861,810,875,1235,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,0.88,1.36,1,0.0,False,366.0
Cerro Navia,11.14,141122,23.02,210000.0,10.47138132790637,-0.65,15.9,17.46,0,3.18,1.75,0.841,7.55,159,38,9,18,3.4108,8,219,119,450,517,334,999,15.92,23.38,31.1,33.4,37.5,22.44,90.0,9.0,7.0,0.0,672.6,0.66,1.37,0,0.0,False,366.0
Colina,971.57,191338,24.58,216667.0,11.5587453849072,-0.502,10.34,7.7,11,2.07,0.77,1.25,0.13,204,51,10,26,0.0525,962,7871,5881,17604,11426,10756,21667,12.86,17.75,24.79,27.4,30.4,15.75,1.0,0.0,0.0,0.0,470.2,-1.35,-4.94,11,0.0,False,366.0
Conchalí,10.98,138230,18.72,208817.0,11.42177599129404,-0.247,15.9,17.46,0,3.18,1.75,0.276,2.51,93,32,7,14,2.9139,12,431,353,768,773,748,1379,16.06,22.69,30.43,32.68,36.2,21.48,71.0,4.0,1.0,0.0,434.7,0.02,0.7,0,0.0,False,366.0
Curacaví,693.8,37653,25.84,203945.0,10.91139198513803,-0.717,14.16,15.93,8,2.83,1.59,0.077,0.01,17,8,2,3,0.0115,693,8562,8108,15191,9366,8785,16440,16.05,22.45,29.69,31.98,36.8,22.0,52.0,3.0,5.0,2.0,480.6,0.15,-0.04,8,0.0,False,366.0
El Bosque,14.26,170902,17.48,200000.0,11.40437197945492,-0.204,28.77,42.63,0,5.75,4.26,0.299,2.09,95,51,8,28,3.5771,14,361,429,531,660,620,981,15.14,22.38,30.29,32.78,36.8,21.46,71.0,5.0,5.0,0.0,708.2,0.28,0.56,0,0.0,False,366.0
El Monte,115.33,41392,22.96,203917.0,10.75927400095544,-0.601,11.08,14.56,1,2.22,1.46,0.089,0.08,44,5,2,1,0.0434,114,3910,4039,6265,5716,5961,9202,14.26,21.77,28.64,31.1,37.4,20.67,35.0,5.0,2.0,0.0,606.9,-0.43,-1.09,1,0.0,False,366.0
Estación Central,14.29,218525,22.81,326521.0,12.15677970938385,-0.093,28.77,42.63,0,5.75,4.26,0.423,2.96,81,45,14,24,3.1499,15,388,345,585,542,404,957,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,0.88,1.36,0,0.0,False,366.0
Huechuraba,44.96,116377,18.64,200000.0,12.27306435463804,-0.091,7.8,2.96,0,1.56,0.3,0.855,1.9,90,35,6,21,0.7784,44,1349,1066,2803,1651,1526,2895,15.35,21.97,29.7,31.98,35.5,20.6,49.0,2.0,0.0,0.0,434.7,-0.32,-0.03,0,0.0,False,366.0
Independencia,7.28,150807,22.42,400000.0,13.22688971703708,0.273,15.9,17.46,0,3.18,1.75,0.126,1.73,39,42,15,14,5.7661,6,246,188,407,487,444,784,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.18,0.67,0,0.0,False,366.0
Isla de Maipo,187.55,41550,22.88,210000.0,10.07175024342761,-0.722,28.77,42.63,2,5.75,4.26,0.797,0.42,42,12,2,2,0.064,183,3026,2568,6180,5115,4632,9362,14.84,22.3,29.24,32.02,37.7,21.34,48.0,6.0,5.0,0.0,681.1,-0.03,-0.49,2,0.0,False,366.0
La Cisterna,10.01,101315,13.47,320803.0,12.79405031538454,0.495,28.77,42.63,0,5.75,4.26,0.121,1.21,29,49,10,28,4.8948,9,462,426,760,614,740,818,14.98,22.21,30.11,32.58,36.7,21.27,62.0,3.0,3.0,0.0,708.2,0.05,0.38,0,0.0,False,366.0
La Florida,71.12,406402,13.16,318088.0,12.59193745115305,0.466,17.5,23.7,1,3.5,2.37,1.011,1.42,326,121,24,64,1.7013,66,2368,1138,6138,3214,2773,7046,15.08,21.65,29.1,31.3,35.2,20.99,36.0,1.0,0.0,0.0,616.0,-0.51,-0.63,1,0.0,False,366.0
La Granja,10.06,120772,22.31,209778.0,10.70458808816618,-0.568,17.5,23.7,0,3.5,2.37,0.775,7.71,150,21,3,8,2.0875,9,457,535,627,805,708,1032,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.03,0.0,0,0.0,False,366.0
La Pintana,30.53,189224,27.0,156000.0,10.23287956427394,-0.997,17.5,23.7,0,3.5,2.37,0.64,2.1,222,15,6,4,0.4913,30,919,752,1672,1089,896,1672,14.06,21.34,29.24,31.8,35.8,20.38,40.0,2.0,0.0,0.0,695.3,-0.43,-0.49,0,0.0,False,366.0
La Reina,23.64,99946,4.9,420917.0,14.79302543101286,1.507,7.8,2.96,0,1.56,0.3,1.171,4.95,95,55,13,27,2.3264,21,701,482,1761,1215,815,2498,15.4,21.97,29.5,31.78,35.8,20.96,47.0,2.0,1.0,3.0,513.7,-0.11,-0.23,0,0.0,False,366.0
Lampa,450.07,137016,25.61,180000.0,10.89962950155571,-0.751,15.9,17.46,4,3.18,1.75,0.712,0.16,142,19,7,6,0.0422,449,4705,4134,9200,5392,4710,10367,16.72,23.95,31.64,34.0,37.5,22.96,105.0,13.0,12.0,3.0,615.3,1.36,1.91,4,0.0,False,366.0
Las Condes,98.9,339547,4.43,743000.0,15.58783918747427,2.278,7.8,2.96,1,1.56,0.3,1.313,1.33,234,175,33,110,1.7694,101,2483,1453,6463,2923,1914,6906,15.22,20.54,27.56,29.88,33.6,19.67,17.0,0.0,0.0,7.0,544.1,-0.44,-2.17,1,0.0,False,366.0
Lo Barnechea,1022.13,128997,10.89,280000.0,14.06383199916831,0.802,7.28,2.64,8,1.46,0.26,1.813,0.18,142,35,8,19,0.0342,1024,16505,17030,27320,17202,17610,27891,7.87,10.96,16.96,19.75,22.3,9.12,0.0,0.0,0.0,0.0,823.7,-2.43,-12.77,8,0.0,False,366.0
Lo Espejo,8.19,102145,28.78,199778.0,10.42959944193576,-0.968,28.77,42.63,0,5.75,4.26,0.274,3.34,59,9,4,2,1.0983,8,596,463,1084,657,524,1084,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,0.88,1.36,0,0.0,False,366.0
Lo Prado,6.57,103390,19.32,203917.0,11.36936853014144,-0.297,15.9,17.46,0,3.18,1.75,0.198,3.02,83,25,7,11,3.8054,6,222,121,468,453,479,762,15.92,23.38,31.1,33.4,37.5,22.44,90.0,9.0,7.0,0.0,672.6,0.66,1.37,0,0.0,False,366.0
Macul,12.81,137336,13.45,400000.0,13.37165590700947,0.755,17.5,23.7,1,3.5,2.37,0.364,2.84,95,28,9,10,2.1852,13,370,301,561,496,536,577,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.03,0.0,1,0.0,False,366.0
Maipú,137.61,585951,14.84,248179.0,12.42664462961877,0.22,28.77,42.63,2,5.75,4.26,2.175,1.58,720,111,29,51,0.8066,138,2218,1528,5446,3390,2299,8175,15.19,22.36,29.72,32.2,36.5,21.42,56.0,4.0,4.0,0.0,733.8,0.01,-0.01,2,0.0,False,366.0
María Pinto,394.62,15382,27.16,193917.0,9.46843776624592,-1.087,11.08,14.56,3,2.22,1.46,0.067,0.02,8,6,1,1,0.0152,388,4611,3962,8359,9864,9392,17159,14.99,22.25,29.3,31.5,37.5,21.9,46.0,4.0,4.0,0.0,582.5,-0.14,-0.43,3,0.0,False,366.0
Melipilla,1343.13,146241,22.81,203917.0,10.95887124414489,-0.554,13.02,17.4,14,2.6,1.74,0.515,0.04,70,37,10,13,0.0275,1346,6926,6679,12372,9434,9405,15271,14.05,21.32,27.46,30.7,37.0,20.62,26.0,5.0,1.0,0.0,547.2,-0.68,-2.26,14,0.0,False,366.0
Padre Hurtado,81.22,78847,19.55,300000.0,11.37208218071051,-0.132,28.77,42.63,0,5.75,4.26,0.527,0.65,176,7,3,2,0.0862,80,3494,3242,6519,3992,3564,7415,14.97,22.15,29.03,31.78,36.7,21.32,40.0,3.0,2.0,0.0,583.6,-0.32,-0.7,0,0.0,False,366.0
Paine,678.14,86258,20.95,193935.0,10.89190139297804,-0.492,16.9,22.15,5,3.38,2.21,0.251,0.04,86,18,7,3,0.0265,678,4741,3983,9137,8094,7527,14637,15.56,22.81,31.19,33.7,38.4,22.21,85.0,9.0,11.0,0.0,594.0,0.9,1.46,5,0.0,False,366.0
Pedro Aguirre Cerda,8.64,106065,20.17,243917.0,11.02831502937128,-0.334,28.77,42.63,0,5.75,4.26,0.429,4.97,84,21,9,9,2.4315,8,396,365,556,455,422,608,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,0.88,1.36,0,0.0,False,366.0
Peñaflor,69.32,104684,15.13,200000.0,11.96518097371539,0.026,28.77,42.63,1,5.75,4.26,0.631,0.91,65,15,5,3,0.2164,68,1866,1674,3637,2263,2217,3665,14.11,21.72,28.67,31.48,36.3,20.74,35.0,3.0,1.0,0.0,639.4,-0.47,-1.06,1,0.0,False,366.0
Peñalolén,53.62,271089,16.64,273917.0,12.40974773342048,0.173,17.5,23.7,0,3.5,2.37,1.806,3.37,208,55,12,26,1.0257,50,2010,1053,4946,2477,1764,5736,14.57,20.36,27.33,29.8,33.1,19.72,17.0,0.0,0.0,3.0,546.3,-0.7,-2.4,0,0.0,False,366.0
Pirque,444.7,32041,19.42,211671.0,11.90746093749988,-0.181,17.5,23.7,3,3.5,2.37,0.338,0.08,36,15,3,5,0.0337,444,6322,5342,13423,8634,7566,16485,15.37,21.28,28.18,30.68,34.2,21.17,26.0,0.0,0.0,4.0,644.8,-0.45,-1.55,3,0.0,False,366.0
Providencia,14.43,162013,4.32,1000000.0,16.25641007499625,2.887,7.8,2.96,0,1.56,0.3,2.243,15.54,120,195,56,100,13.5107,12,296,247,592,375,337,620,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.18,0.67,0,0.0,False,366.0
Pudahuel,197.45,259195,16.88,236000.0,11.84711282590672,-0.02,15.9,17.46,2,3.18,1.75,0.81,0.41,197,63,14,26,0.3191,193,3383,2754,7392,4345,3942,8214,14.95,22.05,29.25,31.58,35.9,21.05,41.0,3.0,1.0,0.0,698.8,-0.37,-0.47,2,0.0,False,366.0
Puente Alto,88.13,661900,18.92,200000.0,12.03118632822764,-0.153,17.5,23.7,2,3.5,2.37,2.418,2.74,665,124,31,56,1.407,88,1173,775,2953,1721,1153,4005,15.27,21.85,29.3,31.5,35.4,21.21,41.0,1.0,2.0,0.0,616.0,-0.31,-0.43,2,0.0,False,366.0
Quilicura,56.99,268706,17.05,208785.0,12.19940354897908,-0.009,15.9,17.46,0,3.18,1.75,0.732,1.28,388,100,17,50,1.7546,56,1010,864,2079,1403,1176,2752,15.49,22.96,30.62,32.9,36.7,21.95,77.0,6.0,4.0,0.0,602.8,0.29,0.89,0,0.0,False,366.0
Quinta Normal,11.83,140381,19.68,400000.0,12.81401894451962,0.33,15.9,17.46,0,3.18,1.75,0.427,3.61,25,27,4,12,2.2819,9,364,320,587,614,689,795,16.48,23.08,30.72,32.98,37.0,22.11,83.0,4.0,4.0,3.0,446.1,0.54,0.99,0,0.0,False,366.0
Recoleta,15.85,195514,21.16,260879.0,11.47486351650759,-0.264,7.8,2.96,0,1.56,0.3,2.72,17.16,57,51,9,26,3.2175,15,426,431,713,636,590,939,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.18,0.67,0,0.0,False,366.0
Renca,23.75,162638,19.5,193000.0,10.87586764441678,-0.423,15.9,17.46,1,3.18,1.75,0.47,1.98,68,24,4,12,1.0107,22,632,566,1032,1029,962,1466,15.92,23.38,31.1,33.4,37.5,22.44,90.0,9.0,7.0,0.0,672.6,0.66,1.37,1,0.0,False,366.0
San Bernardo,153.14,343570,18.71,199917.0,11.61984892425988,-0.224,28.77,42.63,1,5.75,4.26,1.688,1.1,293,76,19,35,0.4963,153,1796,1825,3018,2534,2457,4679,14.45,21.72,29.62,32.2,36.2,20.87,53.0,2.0,1.0,0.0,695.3,-0.21,-0.11,1,0.0,False,366.0
San Joaquín,9.94,103586,19.61,270000.0,11.79086965796784,-0.107,17.5,23.7,0,3.5,2.37,0.371,3.73,75,18,3,7,1.8112,8,370,329,594,796,735,1150,16.33,22.93,30.46,32.7,36.8,22.12,74.0,4.0,5.0,6.0,513.7,0.67,0.73,0,0.0,False,366.0
San José de Maipo,4984.91,19211,24.4,244051.0,11.44726827065726,-0.465,7.46,5.2,50,1.49,0.52,0.115,0.0,16,8,1,1,0.0016,4982,26716,25556,47689,37496,37393,61650,4.3,7.15,14.05,18.15,20.2,4.83,0.0,0.0,0.0,0.0,1073.4,-2.74,-15.68,50,0.0,False,366.0
San Miguel,9.63,140870,12.92,421694.0,14.09351796981149,0.964,28.77,42.63,0,5.75,4.26,0.195,2.03,33,49,12,24,5.0891,8,258,289,416,492,389,887,16.38,22.97,30.5,32.78,36.8,22.18,76.0,4.0,5.0,7.0,513.7,0.76,0.77,0,0.0,False,366.0
San Pedro,794.84,12336,31.93,198310.0,8.73944767710354,-1.464,7.19,5.7,9,1.44,0.57,0.025,0.0,5,7,1,1,0.0088,796,7475,7147,13256,11848,11988,18233,14.69,21.26,27.55,31.12,36.8,20.15,41.0,6.0,3.0,1.0,565.0,-0.33,-2.18,9,0.0,False,366.0
San Ramón,6.31,84926,19.17,223917.0,10.75368796878047,-0.374,17.5,23.7,0,3.5,2.37,0.262,4.15,73,21,5,10,3.3292,5,261,238,357,364,423,461,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.03,0.0,0,0.0,False,366.0
Santiago,23.28,530538,16.47,489000.0,14.16776451905146,0.923,28.77,42.63,0,5.75,4.26,2.055,8.83,261,262,39,186,11.2561,21,243,206,448,409,403,684,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.18,0.67,0,0.0,False,366.0
Talagante,128.01,84153,16.99,200000.0,11.51954302232605,-0.156,28.77,42.63,2,5.75,4.26,0.376,0.29,94,40,9,14,0.3125,129,2451,2450,4232,3331,3440,5117,14.29,22.38,29.65,32.08,37.7,21.44,54.0,5.0,4.0,0.0,632.7,-0.01,-0.08,2,0.0,False,366.0
Tiltil,654.87,22110,28.91,193917.0,9.55063222738564,-1.159,14.13,14.52,6,2.83,1.45,0.109,0.02,18,8,3,1,0.0122,656,4903,4636,8105,8862,7794,16556,15.28,22.32,30.36,32.98,35.6,21.18,68.0,3.0,4.0,0.0,589.0,0.21,0.63,6,0.0,False,366.0
Vitacura,28.29,97546,2.44,950000.0,16.23183513296114,2.885,7.8,2.96,1,1.56,0.3,1.549,5.48,113,59,14,37,2.0853,29,756,446,1661,1120,1032,2035,16.74,21.94,28.97,31.38,34.9,20.99,36.0,0.0,0.0,19.0,603.5,0.64,-0.76,1,0.0,False,366.0
Ñuñoa,16.91,261138,5.17,693470.0,15.60763637508195,2.154,17.5,23.7,0,3.5,2.37,1.107,6.55,117,116,13,82,6.859,16,232,214,415,484,498,773,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.03,0.0,0,0.0,False,366.0
